,name,price,category,image_link
38,10 Inch Modern Frosted Glass Lamp In Sheesham Wood,"1,385",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-076_a_3_400x.jpg?v=1570516448
39,14 Inch Terracotta Handpainted Madhubani  Tappered Lamp Black,"2,599",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-005_a_2_400x.jpg?v=1570516505
40,13 Inch Terracotta Handpainted Warli Matki Lamp Blue,"1,999",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-050_A_f8535952-3464-4a6a-b3ff-e66dcf2ce063_400x.jpg?v=1599912326
41,'The Jute-Shade Log' Madhubani Hand-Painted Table Lamp In Wood,"2,177",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-155_a_400x.jpg?v=1570516212
42,12 Inch Parrot Table Lamp In Sheesham Wood,"2,099",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-122_a_2_400x.jpg?v=1570516350
43,13 Inch Terracotta Handpainted Warli Matki Lamp In Red,"1,949",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-107_A_400x.jpg?v=1599822120
44,13 Inch Terracotta Handpainted Warli Matki Lamp Red,"1,999",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-047_A_400x.jpg?v=1599821454
45,''Starlight'' Round Table Lamp In Mango Wood 14 inch,"2,096",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-194_B_400x.jpg?v=1584036606
46,14 Inch Wooden Lamp Turqouise Blue,"1,380",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-042_a_4_400x.jpg?v=1570516474
47,''Volta'' Round Table Lamp In Mango Wood 14 inch,"1,597",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-191_B_400x.jpg?v=1584036460
48,"Moroccan Shimmer Hand Etched Iron Table Lamp (13 Inch, Copper)","1,675",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-185_A_400x.jpg?v=1583559927
49,14 Inch Wooden Lamp Green,"1,399",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-003_a_3_400x.jpg?v=1570516493
50,"Moroccan Shimmer Hand Etched Iron Table Lamp (12 Inch, White)","1,599",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-187_A_400x.jpg?v=1583559923
51,14 Inch Pyramid Lamp In Wood,"1,390",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-092_aa_400x.jpg?v=1678773527
52,'Warli In Light' Hand-Painted Pot Shaped Round Table Lamp In Terracotta,"1,880",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-003-146_a_400x.jpg?v=1570516283
53,''Faraday'' Round Table Lamp In Mango Wood 13 inch,"1,725",table-lamps,//cdn.shopify.com/s/files/1/0030/9759/1872/products/EL-003-189_B_400x.jpg?v=1584036539
54,"'The Hut Family' Hand-Painted Ceramic Quarter Plates (7 Inch, Set Of 6)","1,778",plates-platters,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-462_a_400x.jpg?v=1570516060
55,"'The Hut Couple' Hand-Painted Ceramic Dinner Plates (10 Inch, Set Of 2)","1,275",plates-platters,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-466_a_400x.jpg?v=1570516057
56,"'The Hut Family' Hand-Painted Ceramic Dinner Plates (10 Inch, Set Of 6)","2,956",plates-platters,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-464_a_400x.jpg?v=1570516055
57,"'The Hut Couple' Hand-Painted Ceramic Quarter Plates (7 Inch, Set Of 2)",925,plates-platters,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-463_a_400x.jpg?v=1570516059
58,'The Hut Platter Pack' Hand-Painted Ceramic Plate With Serving Bowls Set,"1,099",plates-platters,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-465_a_400x.jpg?v=1570516055
59,"'Moroccan Plate Family' Handpainted Plates In Ceramic (10 Inch, Set Of 6)","2,299",plates-platters,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-396_a_1_400x.jpg?v=1570516168
60,'Earthen Turquoise' Hand Glazed Chip-N-Dip Serving Platter In Ceramic (Microwave Safe),949,plates-platters,//cdn.shopify.com/s/files/1/0030/9759/1872/products/44_400x.png?v=1610967923
61,"'Moroccan Platter Pair' Hand-Painted Plates In Ceramic (10 Inch, Set Of 2)",949,plates-platters,//cdn.shopify.com/s/files/1/0030/9759/1872/products/el-005-505_a_400x.jpg?v=1570516014
