,name,price,review
142,'Melting Glaciers' Studio Pottery Planters (Set Of 2),549,1
143,'Moroccan Roots' Handpainted Planters In Ceramic (Set Of 2),549,0
144,'Spirit of Earth' Handmade &amp; Hand Painted Planter Pot In Terracotta (6 Inches),649,2
145,'Wishing Well' Handmade &amp; Hand Painted Planter Pot In Terracotta (7 Inches),725,0
146,"'Indigo Chevron Duo' Hand-painted Ceramic Cuboidal Table Planter Pots (3.7 Inch, Set of 2)",549,0
147,"'Pecking Hen Pair' Handmade &amp; Hand-painted Planter Pots In Terracotta (4 Inch, Set of 2)",1075,1
148,'Cheerful Sheep' Handmade &amp; Hand Painted Planter Pot In Terracotta (8 Inches),699,0
149,'Curios Sheep' Handmade &amp; Hand-painted Planter Pot In Terracotta (6 Inch),649,0
150,'Cheerful Sheep' Handmade &amp; Hand-painted Planter Pot In Terracotta (6 Inch),649,1
151,'Plant On Wheels' Table Cum Floor Planter Pot In Glossy Red,584,0
152,'Mellow Cat' Handmade &amp; Hand-painted Planter Pot In Terracotta (6.5 Inch),584,0
153,'Plant In A Cup' Table Cum Floor Planter Pot In Glossy Red,775,0
154,'Plant On Wheels' Table Cum Floor Planter Pot In Glossy Grass Green,649,0
155,'Bloom in Tube' Handcrafted Wooden Planter Tubes With Holder,725,0
156,"'Hut Dining' Handpainted Ceramic Dinner &amp; Quarter Plates With Katoris (12 Pieces, Serving for 4)",4337,4
157,"'Hut Dining' Handpainted Ceramic Dinner Plates With Katoris &amp; Serving Bowls (10 Pieces, Serving for 4)",3799,3
158,"'Hut Dining' Handpainted Ceramic Dinner Plates With Katoris (8 Pieces, Serving for 4)",2965,1
159,'The Hut Platter Pack' Hand-Painted Ceramic Plate With Serving Bowls Set,1099,1
160,"'Moroccan Dining' Handpainted Ceramic Dinner Plates With Katoris (8 Pieces, Serving for 4)",2267,1
161,"'Moroccan Dining' Handpainted Ceramic Dinner Plates With Katoris &amp; Serving Bowls (10 Pieces, Serving for 4)",2999,2
162,'Moroccan Platter Pack' Handpainted Plate With Serving Bowl Set Of 2 In Ceramic,925,0
163,"'Earthen Turquoise' Hand Glazed Dinner Plates With Katoris In Ceramic (8 Pieces, Serving for 4, Microwave Safe)",2999,1
164,"'Indigo Chevron' Hand-painted Ceramic Dinner Plates With Serving Bowls &amp; Katoris (10 Pieces, Serving for 4, Microwave Safe)",3449,2
165,"'Indigo Chevron' Hand-painted Ceramic Dinner Plates With Side/Quarter Plates &amp; Katoris (12 Pieces, Serving for 4, Microwave Safe)",3899,1
166,"'Earthen Turquoise' Hand Glazed Dinner Plates With Serving Bowls &amp; Katoris In Ceramic (10 Pieces, Serving for 4, Microwave Safe)",3899,0
167,"'Moroccan Floral' Hand-painted Studio Pottery Dinner Plates With Serving Bowls &amp; Katoris In Ceramic (10 Pieces, Serving for 4, Microwave Safe)",3399,1
168,"'Earthen Turquoise' Hand Glazed Dinner Plate With Katoris In Ceramic (3 Pieces, Serving for 1, Microwave Safe)",1099,0
169,"'Moroccan Meals' Hand-painted Ceramic Dinner Plates With Katoris (8 Pieces, Serving for 4, Microwave Safe)",2204,0
170,"'Indigo Chevron' Hand-painted Ceramic Dinner Plates With Katoris (8 Pieces, Serving for 4, Microwave Safe)",2799,0
171,"'Indigo Chevron' Hand-painted Ceramic Dinner Plate With Katoris (3 Pieces, Serving for 1, Microwave Safe)",1025,1
172,"'Earthen Turquoise' Hand Glazed Dinner Plates With Side/Quarter Plates &amp; Katoris In Ceramic (12 Pieces, Serving for 4, Microwave Safe)",4399,0
173,"'Moroccan Floral' Hand-painted Studio Pottery Dinner Plates With Katoris In Ceramic (8 Pieces, Serving for 4, Microwave Safe)",2499,0
174,"'Shubh Labh Ganesha' Wall Décor Brass Wall Hanging (Hand-Etched, 0.4 Kg)",1139,0
175,"'Englighted Brass Ganesha' Showpiece Idol (Hand-Etched, 0.9 Kg)",2232,0
176,"'Divine Brass Buddha' Showpiece Idol (Hand-Etched, 0.9 Kg)",2184,0
177,"'Invisible Ganesha' Hand Etched Brass Diya (Hand-Etched, 8 Inch, 1.4 Kg)",2944,0
178,"'Elegant Hand Etched' Brass Diya &amp; Dhoop Incense Holder (Hand-Etched, 0.4 Kg)",1092,0
179,"'Peacock' Decorative Table Hanging Brass Diya (5 Wicks, 0.6 Kg, Hand-Etched)",1709,0
180,"'Parrot'  Decorative  Table Hanging Brass Diya (5 Wicks, 0.6 Kg, Hand-Etched)",1994,0
181,"'Inaayat' Dhoop Dani Brass Incense Burner (Hand-Etched, 5 Inch, 0.9Kg)",1354,0
182,"'Fying Angel Horse'  Brass Showpiece Figurine (Hand-Etched, 0.3 Kg)",974,0
183,"'Chariot Brass Ganesha' Showpiece Idol (Hand-Etched, 0.7 Kg)",1899,0
184,"'Nandi'  Carved Brass Showpiece Idol (Hand-Etched, 0.9Kg)",3229,0
185,"'Lotus Shaped' Hand- Carved Brass Diya (Hand-Etched, 0.2 Kg)",594,0
186,"'Swinging Ganesha'  Brass Showpiece (Hand-Etched, 1.3 Kg)",2469,0
187,"'Kamdhenu Cow With Calf'  Brass Showpiece Idol (Hand-Etched, 0.3 Kg)",831,0
188,"'Shankh'  Brass Diya In Brass (5 Wicks, 0.7 Kg, Hand-Etched)",1496,0
189,"'Kamdhenu Cow With Calf' Hand Crafted Brass Showpiece Idol (Hand-Etched, 0.3 Kg)",854,0
190,"'Shree Ganeshaye Namah' Wall Décor Brass Wall Hanging (Hand-Etched, 0.3Kg)",902,0
191,"'Golden Parrot'  Decorative Wall Hanging Brass Diya (5 Wicks, 1.5 Kg, Hand-Etched)",2564,0
192,'Blooming Wood' Handcrafted Wall Decor In Recycled Wood (12 Inch),1169,0
193,'Jubilant Jute' Handcrafted Wall Decor In Recycled Wood &amp; Jute (14 Inch),1328,0
194,'Wooden Foliage' Handcrafted Wall Decor In Recycled Wood &amp; Iron (14 Inch),1169,0
195,'White Tessellations' Handcrafted Wall Decor In Recycled Wood (18 Inch),1304,0
196,'Wooden Leaflet' Handcrafted Wall Decor In Recycled Wood &amp; Iron (18 Inch),1373,0
197,'Celtic Cotton Designs' Handcrafted Wall Decor In Recycled Wood (14 Inch),1214,0
198,'Wodden Florals' Handcrafted Wall Decor In Recycled Wood (12 Inch),1299,0
199,'Cane Designs' Handcrafted Wall Decor In Recycled Wood &amp; Cane (14 Inch),1599,0
200,"'Nrityaki' Wall Décor Hanging In Recycled Wood (11 Inch, Hand-Painted, Multicoloured)",1249,1
201,"'Royal Elephant' Wall Décor Hanging In Recycled Wood (11 Inch, Hand-Painted, Multicoloured)",1249,0
202,"'Chirping Birds' Wall Décor Hanging In Recycled Wood (11 Inch, Hand-Painted, Multicoloured)",1124,0
203,"'Krishna Melodies' Wall Décor Hanging In Recycled Wood (11 Inch, Hand-Painted, Multicoloured)",1124,0
204,'Glass Elegance' Handcrafted Cylindrical Hanging Pendant Lamp in Glass &amp; Iron (7 Inch),1643,0
205,'Glass Splendours' Handcrafted Cuboidal Hanging Pendant Lamp in Glass &amp; Iron (8 Inch),1529,0
206,'Glass Radiance' Handcrafted Octagonal Hanging Pendant Lamp in Glass &amp; Iron (9 Inch),1709,0
207,'Glass Fluorescence' Handcrafted Conical Hanging Pendant Lamp in Glass &amp; Iron (9 Inch),1583,0
208,'Glass Wonders' Handcrafted Cylindrical Hanging Pendant Lamp in Glass &amp; Iron (9 Inch),1643,0
209,'Glass Flares' Handcrafted Hexagonal Hanging Pendant Lamp in Glass &amp; Iron (8 Inch),1825,0
210,'Glass Miracles' Handcrafted Conical Hanging Pendant Lamp in Glass &amp; Iron (8 Inch),1598,0
211,'Glass Sensations' Handcrafted Cuboidal Hanging Pendant Lamp in Glass &amp; Iron (8 Inch),1304,0
212,'Glass Magnificence' Handcrafted Conical Hanging Pendant Lamp in Glass &amp; Iron (8 Inch),1508,0
213,'Glass Glimmers' Handcrafted Cylindrical Hanging Pendant Lamp in Glass &amp; Iron (8 Inch),1599,0
214,'Wood Divines' Handcrafted Cuboidal Hanging Pendant Lamp In Mango Wood (12 Inch),1709,0
215,'Wooden Paradise' Handcrafted Cuboidal Hanging Pendant Lamp In Mango Wood (12 Inch),1709,0
216,'Jute Sensations' Handwoven Pyramidal Hanging Pendant Lamp In Jute &amp; Iron (11 Inch),1599,0
217,'Jute Joys' Handwoven Pyramidal Hanging Pendant Lamp In Jute &amp; Iron (9 Inch),1599,0
218,'Cotton Paradise' Handwoven Conical Hanging Pendant Lamp In Cotton Rope &amp; Iron (14 Inch),1799,0
219,"'Cotton Elegance' Handwoven Adjustable Chandelier With Hanging Lamp Shades In Cotton Rope &amp; Iron (3 Shades, 28 Inch)",2999,0
220,'Monochrome Lights' Hand-Etched Cuboidal Hanging Pendant Lamp In Iron (11 Inch),1425,0
221,'Jute Brilliance' Handwoven Cuboidal Hanging Pendant Lamp In Jute &amp; Iron (11 Inch),1304,0
222,"'Cotton Sparkles' Handwoven Adjustable Chandelier With Hanging Lamp Shades In Cotton Rope &amp; Iron (2 Shades, 27 Inch)",2399,0
223,"'Cotton Lustres' Handwoven Adjustable Chandelier With Hanging Lamp Shades In Cotton Rope &amp; Iron (3 Shades, 22 Inch)",2474,0
224,"'Jute Flares' Handwoven Adjustable Chandelier With Hanging Lamp Shades In Jute &amp; Iron (3 Shades, 22 Inch)",2813,0
225,'Cane Wonders' Handwoven Cylindrical Hanging Pendant Lamp In Cane &amp; Iron (9 Inch),1799,0
226,'Jute Luminescence' Handwoven Spherical Hanging Pendant Lamp In Jute &amp; Iron (8 Inch),1349,0
227,'Jute Marvels' Handwoven Conical Hanging Pendant Lamp In Jute &amp; Iron (14 Inch),1614,0
228,'Blazing Rope' Handwoven Conical Hanging Pendant Lamp In Band Rope &amp; Iron (10 Inch),1549,0
229,'Rope Paradise' Handwoven Conical Hanging Pendant Lamp In Band Rope &amp; Iron (10 Inch),1394,0
230,'Ebony Elegance' Hand-Etched Cylindrical Hanging Pendant Lamp In Iron  (11 Inch),1549,0
231,'Jute Miracles' Handwoven Cylindrical Hanging Pendant Lamp In Jute &amp; Iron (11 Inch),1553,0
232,'Jute Embers' Handwoven Cylindrical Hanging Pendant Lamp In Jute &amp; Iron (11 Inch),1394,0
233,'Jute Splendours' Handwoven Cylindrical Hanging Pendant Lamp In Jute &amp; Iron (11 Inch),1439,0
234,'The Consious Owl' Hand-Painted Showpiece In Wood,1099,0
235,'The Enlightened Owl' Hand-Painted Showpiece In Wood,699,0
236,'The Calm Owl Pair' Hand-Painted Showpiece In Wood (Set of 2),899,0
237,'The Resting Owl Pair' Hand-Painted Showpiece In Wood (Set of 2),999,0
238,'The Wise Owl Pair' Hand-Painted Showpiece In Wood (Set of 2),999,0
239,'The Snowy Owl ' Hand-Painted Spectacle Holder Cum Showpiece In Wood,675,0
240,'The Staring Owl' Hand-Painted Showpiece In Wood,578,0
241,'The Ever Wise Owl' Hand Carved Showpiece In Wood,875,0
242,'The Silent Owl Pair' Hand-Painted Showpiece In Wood (Set of 2),1079,0
243,'The Serene Owl Pair' Hand-Painted Showpiece In Wood (Set of 2),1249,0
244,'The Attentive Owl' Hand Carved Wall Tea Light Holder In Mango Wood (7.8 Inch),764,0
245,'The Vigilant Owl' Hand Carved Wall Tea Light Holder In Mango Wood (7.5 Inch),730,0
246,'The Observant Owl' Hand Carved Showpiece In Wood,774,0
247,'The Knowledgeable Owl' Hand-Painted Showpiece In Wood,749,0
